,E_0,E_1,N_0,N_1,S_0,S_1,W_0,W_1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0
9,0,0,1,0,0,0,0,0
10,0,0,1,0,0,0,0,0
11,0,0,1,0,0,0,0,0
12,0,0,1,0,0,0,0,0
13,0,0,1,0,0,0,0,0
14,0,0,1,0,0,0,0,0
15,0,0,1,0,0,0,0,0
16,0,0,1,0,0,0,0,0
17,0,0,1,0,0,0,0,0
18,0,0,1,0,0,0,0,0
19,1,0,1,0,0,0,0,0
20,1,0,1,0,0,0,0,0
21,1,0,1,0,0,0,0,0
22,1,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0
28,1,0,0,0,0,0,1,0
29,1,0,0,0,0,0,1,0
30,1,0,0,0,0,0,1,0
31,1,0,0,0,0,0,1,0
32,1,0,0,0,0,0,1,0
33,1,0,0,0,0,0,1,0
34,1,0,0,0,0,0,1,0
35,1,0,0,0,0,0,1,0
36,1,0,0,0,0,0,1,0
37,1,0,0,0,0,0,1,0
38,1,0,0,0,0,0,1,0
39,1,0,0,0,0,0,1,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,1,0
64,0,0,1,0,0,0,1,0
65,0,0,1,0,0,0,1,0
66,0,0,1,0,0,0,1,0
67,0,0,0,0,0,0,1,0
68,0,0,0,0,0,0,1,0
69,0,0,0,0,0,0,1,0
70,0,0,0,0,0,0,1,0
71,0,0,0,0,0,0,1,0
72,0,0,0,0,0,0,1,0
73,0,0,0,0,0,0,1,0
74,0,0,0,0,0,0,1,0
75,0,0,0,0,0,0,1,0
